jaar	Koop	PartHuur	Wooncorp	Warmtefonds	Huurcommissie
2000	4.5	8.47	3.6	4	7.97
2001	4.5	8.47	3.6	4	7.97
2002	4.5	8.47	3.6	4	7.97
2003	4.5	8.47	3.6	4	7.97
2004	4.15	7.81	3.6	3.65	7.31
2005	3.76	7.08	3.6	3.26	6.58
2006	4.38	8.24	3.6	3.88	7.74
2007	4.97	9.36	3.6	4.47	8.86
2008	5.34	10.05	3.6	4.84	9.55
2009	4.86	9.15	3.6	4.36	8.65
2010	4.52	8.51	3.6	4.02	8.01
2011	4.55	8.56	3.86	4.05	8.06
2012	4.27	8.04	3.35	3.77	7.54
2013	3.78	7.12	2.9	3.28	6.62
2014	3.37	6.34	2.71	2.87	5.84
2015	2.93	5.52	1.78	2.43	5.02
2016	2.59	4.88	1.17	2.09	4.38
2017	2.41	4.54	1.71	1.91	4.04
2018	2.4	4.5	1.57	1.9	4
2019	2.27	4.27	0.92	1.77	3.77
2020	1.89	3.56	0.44	1.39	3.06
2021	1.7	3.2	0.46	1.2	1.89
2022	3.54	2.95	2.75	3.04	1.69
2023	3.54	6	2.75	3.04	3.84
2024	3.59	5.75	3.53	4	4.96
2025	3.59	5.1	3.32	4	4.48
2026	3.59	5.1	3.32	4	4.48
2027	3.59	5.1	3.32	4	4.48
2028	3.59	5.1	3.32	4	4.48
2029	3.59	5.1	3.32	4	4.48
2030	3.59	5.1	3.32	4	4.48
2031	3.59	5.1	3.32	4	4.48
2032	3.59	5.1	3.32	4	4.48
2033	3.59	5.1	3.32	4	4.48
2034	3.59	5.1	3.32	4	4.48
2035	3.59	5.1	3.32	4	4.48
2036	3.59	5.1	3.32	4	4.48
2037	3.59	5.1	3.32	4	4.48
2038	3.59	5.1	3.32	4	4.48
2039	3.59	5.1	3.32	4	4.48
2040	3.59	5.1	3.32	4	4.48
2041	3.59	5.1	3.32	4	4.48
2042	3.59	5.1	3.32	4	4.48
2043	3.59	5.1	3.32	4	4.48
2044	3.59	5.1	3.32	4	4.48
2045	3.59	5.1	3.32	4	4.48
2046	3.59	5.1	3.32	4	4.48
2047	3.59	5.1	3.32	4	4.48
2048	3.59	5.1	3.32	4	4.48
2049	3.59	5.1	3.32	4	4.48
2050	3.59	5.1	3.32	4	4.48
